date,price
2007-05-14,39000
2007-05-15,39000
2007-05-16,39000
2007-05-17,39000
2007-05-18,39000
2007-05-19,39000
2007-05-20,39000
2007-05-21,39000
2007-05-22,39000
2007-05-23,39000
2007-05-24,39000
2007-05-25,39000
2007-05-26,39000
2007-05-27,39000
2007-05-28,39000
2007-05-29,39000
2007-05-30,39000
2007-05-31,39000
2007-06-01,39000
2007-06-02,39000
2007-06-03,39000
2007-06-04,39000
2007-06-05,39000
2007-06-06,39000
2007-06-07,39000
2007-06-08,39000
2007-06-09,39000
2007-06-10,39000
2007-06-11,39000
2007-06-12,39000
2007-06-13,39000
2007-06-14,39000
2007-06-15,39000
2007-06-16,39000
2007-06-17,39000
2007-06-18,39000
2007-06-19,39000
2007-06-20,39000
2007-06-21,39000
2007-06-22,39000
2007-06-23,39000
2007-06-24,39000
2007-06-25,39000
2007-06-26,39000
2007-06-27,39000
2007-06-28,39000
2007-06-29,39000
2007-06-30,39000
2007-07-01,39000
2007-07-02,39000
2007-07-03,39000
2007-07-04,39000
2007-07-05,39000
2007-07-06,39000
2007-07-07,39000
2007-07-08,39000
2007-07-09,39000
2007-07-10,39000
2007-07-11,39000
2007-07-12,39000
2007-07-13,39000
2007-07-14,39000
2007-07-15,39000
2007-07-16,39000
2007-07-17,39000
2007-07-18,39000
2007-07-19,39000
2007-07-20,39000
2007-07-21,39000
2007-07-22,39000
2007-07-23,39000
2007-07-24,39000
2007-07-25,39000
2007-07-26,39000
2007-07-27,39000
2007-07-28,39000
2007-07-29,39000
2007-07-30,39000
2007-07-31,39000
2007-08-01,39000
2007-08-02,39000
2007-08-03,39000
2007-08-04,39000
2007-08-05,39000
2007-08-06,39000
2007-08-07,39000
2007-08-08,39000
2007-08-09,39000
2007-08-10,39000
2007-08-11,39000
2007-08-12,39000
2007-08-13,39000
2007-08-14,39000
2007-08-15,39000
2007-08-16,39000
2007-08-17,39000
2007-08-18,39000
2007-08-19,39000
2007-08-20,39000
2007-08-21,39000
2007-08-22,39000
2007-08-23,39000
2007-08-24,39000
2007-08-25,39000
2007-08-26,39000
2007-08-27,39000
2007-08-28,39000
2007-08-29,39000
2007-08-30,39000
2007-08-31,39000
2007-09-01,39000
2007-09-02,39000
